county_id,county_name,cnty_txbl_val,cnty_calculated_levy,schl_txbl_val,schl_calculated_levy,city_txbl_val,city_calculated_levy,spec_txbl_val,spec_calculated_levy,tot_txbl_val,tot_calculated_levy,avg_eff_prop_tax_rate,avg_eff_prop_tax_rate_pct
085,Garza,606138890.0,4813349.0,523447000.0,5810538.0,158020262.0,1104562.0,601038438.0,691194.0,606138890.0,12419643.0,0.020489764317877707,2.0489764317877706
086,Gillespie,10538012465.0,28294563.0,8378751405.0,64060458.0,4339829291.0,9869944.0,21176653832.0,1091054.0,21176653832.0,103316019.0,0.004878769791470991,0.4878769791470991
087,Glasscock,9060666129.0,13590999.0,8947594652.0,69098603.0,0.0,0.0,9256232909.0,351737.0,9256232909.0,83041339.0,0.008971396875640135,0.8971396875640134
088,Goliad,1376460917.0,10708081.351537,1221368854.0,16519741.0,114936529.0,1722211.0,3906909036.0,621755.0,3906909036.0,29571788.351537,0.007569100810653479,0.7569100810653479
089,Gonzales,7250657641.0,19497018.0,6699042728.0,61822233.0,946803484.0,2984091.0,25991447381.0,24090675.0,25991447381.0,108394017.0,0.004170372484882742,0.41703724848827417
090,Gray,1817407551.0,10559683.0,1488901088.0,16859593.0,907027890.0,6562310.0,3802173582.0,4824863.0,3802173582.0,38806449.0,0.010206385416940179,1.0206385416940178
091,Grayson,22991701147.0,70147680.0,19250625847.0,241669451.0,15046521297.0,84916318.0,29617849891.0,42163475.0,29617849891.0,438896924.0,0.014818662584057729,1.481866258405773
092,Gregg,14676876250.0,44666284.260388,12028597052.0,134393507.0,12116931892.0,69157707.0,6886708595.0,9331222.0,14676876250.0,257548720.26038802,0.01754792476773714,1.754792476773714
093,Grimes,6432686051.0,27215215.0,4782918212.0,45122810.0,954729669.0,4529153.0,1165967052.0,181121.0,6432686051.0,77048299.0,0.011977624648419205,1.1977624648419205
094,Guadalupe,24628565191.0,81372778.89932,18145032308.0,197829961.0,15997168714.0,77219572.0,2384549529.0,7127429.0,24628565191.0,363549740.89932,0.014761304123074605,1.4761304123074606
095,Hale,2690996665.0,18831030.0,2201617609.0,28674925.0,1522083778.0,10866042.0,3287526242.0,96982.0,3287526242.0,58468979.0,0.01778509879344105,1.7785098793441052
096,Hall,336193366.0,2689517.0,287668268.0,2325284.0,127147277.0,470174.0,672367952.0,656745.0,672367952.0,6141720.0,0.009134462732393885,0.9134462732393884
097,Hamilton,1381321138.0,7026118.0,1094816956.0,10000751.0,419848588.0,3849403.0,1449343892.0,11171737.0,1449343892.0,32048009.0,0.022112080629653627,2.2112080629653628
098,Hansford,691832478.0,3143839.226309,666473760.0,10029652.0,245689606.0,999668.0,3164748514.0,4035479.0,3164748514.0,18208638.226309,0.00575358141279121,0.575358141279121
099,Hardeman,468824225.0,3229261.0,478123164.0,3645350.0,126997586.0,911794.0,1254889990.0,2142045.0,1254889990.0,9928450.0,0.00791180906622739,0.7911809066227391
100,Hardin,5368218174.0,25773137.838455,3928601119.0,40083469.0,860763818.0,2736106.0,8121407718.0,18852948.0,8121407718.0,87445660.83845499,0.010767303388135967,1.0767303388135967
101,Harris,692472657559.0,2638043836.0,614942243275.0,6177276370.0,424617954467.0,2150686750.0,4047313153769.0,4058064011.0,4047313153769.0,15024070967.0,0.0037121098358818758,0.3712109835881876
